Time,G Force Long Filtered,G Force Lat Filtered,G Force Vert Filtered,Corr Speed,Steering Wheel Angle,Susp Pos FL,Susp Pos FR,Susp Pos RL,Susp Pos RR
s,G,G,G,km/h,deg,mm,mm,mm,mm
,,,,,,,,,
,,,,,,,,,
0,-0.236,-0.113,0.945,203.7,-4,71.02,72.27,67.17,70.94
0.2,-0.283,-0.046,0.936,205.9,-4,73.15,73.4,70.68,74.35
0.4,-0.259,-0.034,0.957,207.5,-3,69.56,70.8,66.45,69.7
0.6,-0.263,-0.05,0.948,209.2,-3,69.63,70.69,69.78,74.7
0.8,-0.257,-0.058,0.929,211,-4,73.95,74.06,69.05,72.35
1,-0.253,-0.043,0.94,212.7,-3,71.86,72.08,67.64,71.53
1.2,-0.249,-0.092,0.956,213.3,-5,72.74,73.33,69.87,75.29
1.4,-0.241,-0.131,0.961,215.8,-5,70.14,71.39,67.82,74.35
1.6,-0.242,-0.12,0.945,217.6,-4,73.4,74.17,70.81,76.15
1.8,-0.236,-0.101,0.945,218.8,-4,72.23,72.93,70,74.65
2,-0.227,-0.075,0.938,220.7,-3,71.75,72.82,69.35,72.69
2.2,-0.211,-0.093,0.929,222,-4,73.66,74.28,70.85,75.76
2.4,-0.197,-0.092,0.918,223.3,-4,71.53,72.49,67.13,71.41
2.6,-0.198,-0.066,0.922,224,-3,74.79,75.31,71.36,76.53
2.8,-0.188,-0.045,0.933,225.3,-3,73.51,74.17,71.62,75.08
3,-0.184,0.019,0.942,227.3,-3,72.67,72.3,70.64,74.4
3.2,-0.184,-0.025,0.936,227.3,-3,75.93,76.04,72.9,76.06
3.4,-0.179,-0.058,0.936,229.4,-3,74.17,75.56,71.62,74.05
3.6,-0.174,-0.054,0.936,230.1,-3,72.85,73.22,70.04,74.27
3.8,-0.174,-0.024,0.929,231.4,-3,75.2,75.56,71.32,73.71
4,-0.166,-0.029,0.928,233.6,-3,71.68,72.38,68.2,72.77
4.2,-0.159,-0.02,0.92,233.6,-3,76.52,76.41,72.94,76.45
4.4,-0.121,0.011,0.934,235,-3,74.5,74.21,72.69,75.17
4.6,-0.155,0.003,0.938,236.5,-5,74.46,73.69,71.02,74.01
4.8,-0.149,-0.092,0.931,237.2,-5,72.63,73.73,71.23,75.29
5,-0.15,-0.084,0.916,237.2,-3,76.04,77.17,72.86,77.47
5.2,-0.154,-0.011,0.927,239.4,-1,73.18,74.76,75.47,76.96
5.4,-0.148,0.032,0.943,240.9,-2,75.75,75.16,76.06,78.67
5.6,-0.143,0.029,0.939,241.7,3,71.86,70.95,69.78,71.66
5.8,-0.138,0.379,0.935,241.7,9,77.36,71.17,79.01,72.64
6,-0.115,0.613,0.914,244,14,76.66,68.71,76.11,68.88
6.2,-0.119,0.857,0.918,244,16,79.56,69.15,79.91,68.5
6.4,-0.104,0.798,0.909,244.8,9,76.52,68.24,78.46,67.47
6.6,0.059,0.528,0.905,243.2,7,82.27,74.65,78.46,74.31
6.8,1.559,0.386,0.933,231.4,-5,80.1,71.86,66.11,61.19
7,1.82,0.316,0.891,217.6,-7,78.97,72.3,68.76,61.41
7.2,1.921,0.164,0.872,204.2,-8,79.23,78.31,69.4,74.91
7.4,1.788,-0.147,0.882,191.9,1,72.78,74.46,63.76,68.67
7.6,1.74,-0.182,0.888,178.9,5,74.57,74.28,61.79,65.38
